sku;Ano;Janeiro;Fevereiro;Marco;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
16987;2018;17;5;3;5;1;2;4;2;4;5;3;10
16987;2019;4;9;4;2;76;4;2;3;6;147;2;11
16988;2019;211;338;259;175;17;11;15;29;2;12;11;8
16988;2018;40;27;32;20;20;22;25;45;21;207;302;3
16988;2017;0;0;5;47;30;32;62;22;35;37;26;20
16988;2016;57;99;93;88;214;127;62;14;0;0;0;0
16989;2016;0;0;0;0;0;0;7;30;27;26;23;12
16989;2017;29;9;25;18;23;12;14;3;11;13;7;17
16989;2018;14;8;5;6;8;12;5;4;7;4;3;10
16989;2019;7;3;5;5;2;3;4;5;7;5;89;4
16990;2019;35;421;122;135;226;143;25;38;120;225;221;27
16990;2018;130;365;244;163;376;25;40;38;374;230;186;159
16990;2017;391;191;290;213;343;148;39;29;354;332;132;44
16990;2016;163;313;274;44;97;178;105;118;334;363;150;54
16991;2016;0;0;0;0;0;0;3;11;3;31;12;11
16991;2017;7;0;0;0;0;0;0;1;1;0;2;5
16991;2018;6;7;7;9;3;3;2;5;4;8;7;2
16991;2019;15;5;2;2;7;5;0;1;7;0;4;5
16992;2019;2;2;11;1;3;5;5;5;5;2;9;2
16992;2018;0;0;0;0;4;6;2;4;6;3;5;2
16992;2017;0;0;0;0;19;10;7;11;14;14;7;8
16992;2016;0;0;0;0;0;0;7;9;21;20;3;0
16993;2016;0;0;379;390;223;0;116;265;211;121;114;150
16993;2017;25;0;83;214;88;23;16;14;14;15;23;20
16993;2018;24;20;35;27;28;33;20;28;37;36;23;16
16993;2019;15;18;27;27;30;28;34;18;25;30;15;23
16994;2019;0;0;0;0;1;0;0;1;2;1;4;2
16994;2018;0;0;0;0;2;0;0;0;0;0;1;0
16994;2017;0;0;0;0;0;1;2;3;0;0;0;1
16994;2016;0;0;0;3;0;2;3;0;0;0;0;0
16995;2016;13;19;19;29;35;23;26;19;24;43;16;14
16995;2017;14;13;22;28;42;27;26;29;20;30;20;13
16995;2018;10;25;32;16;22;20;20;17;30;22;14;23
16995;2019;26;43;24;27;29;22;31;27;24;19;24;31
16996;2019;14;17;19;14;11;7;12;18;9;12;19;20
16996;2018;6;17;11;13;11;15;5;12;8;17;13;4
16996;2017;11;14;5;5;11;4;9;14;15;11;8;4
16996;2016;9;1;26;19;10;15;14;17;15;26;18;13
16997;2016;2;1;8;6;6;3;7;5;8;19;6;6
16997;2017;3;4;2;0;10;0;4;8;3;7;4;2
16997;2018;5;9;6;4;0;4;11;4;5;5;6;10
16997;2019;6;5;4;5;4;4;3;3;3;3;4;4
16998;2019;11;9;17;6;5;12;14;16;9;11;13;10
16998;2018;11;2;7;12;5;13;11;5;10;12;17;6
16998;2017;7;18;7;11;17;14;12;6;12;13;14;4
16998;2016;3;13;26;17;13;5;16;15;6;31;9;14
17;2016;0;0;0;0;0;1;0;0;0;0;0;0
17000;2016;156;209;173;81;508;121;175;154;138;110;159;466
17000;2017;1974;36;50;181;485;58;1166;901;826;2597;1496;1969
17001;2017;4;4;3;5;5;5;2;3;3;6;5;1
17001;2016;3;6;7;9;9;6;7;2;3;18;4;4
17001;2018;2;12;6;7;3;2;7;6;5;1;4;3
17001;2019;3;3;5;3;10;6;3;3;4;6;3;2
17002;2019;4;4;4;2;2;5;1;3;2;8;7;7
17002;2018;4;3;8;1;0;4;1;9;3;5;6;6
17002;2016;4;2;4;11;6;5;11;10;3;14;5;5
17002;2017;2;3;4;8;2;11;6;8;1;4;3;2
17003;2017;0;0;43;52;62;80;33;169;15;15;16;42
17003;2016;15;29;50;9;24;54;16;18;30;37;4;0
17003;2018;29;53;3;7;11;41;11;11;12;12;18;8
17003;2019;23;36;21;51;49;53;34;15;19;49;22;50
17004;2019;0;4;4;3;6;4;1;1;3;6;3;2
17004;2018;13;3;11;3;7;2;13;5;12;2;5;1
17004;2016;0;0;0;0;0;0;3;9;9;7;6;3
17004;2017;3;4;8;0;7;3;2;4;2;14;1;2
17005;2017;0;0;4;5;5;17;10;10;14;7;1;5
17005;2016;2;3;8;7;2;10;8;13;7;21;6;4
17005;2018;8;6;7;4;11;6;4;4;10;5;0;0
17005;2019;0;7;9;6;9;6;1;0;0;5;8;6
17007;2016;24;50;48;79;27;18;0;0;0;0;0;0
17012;2016;0;3;0;3;1;5;2;6;1;3;2;8
17012;2017;3;3;3;3;1;2;3;0;0;0;0;3
17012;2018;7;2;5;6;3;2;3;1;0;14;17;5
17012;2019;4;11;10;9;5;4;2;5;4;4;8;4
17014;2019;0;1;0;1;1;1;1;0;53;63;68;35
17014;2018;0;1;0;1;0;0;2;3;0;1;0;0
17014;2017;372;300;207;0;160;326;331;431;364;114;66;0
17014;2016;587;691;715;642;401;292;174;217;236;133;55;371
17015;2016;158;248;200;27;91;216;222;371;244;170;0;198
17015;2017;0;218;372;185;117;0;0;255;231;390;219;179
17015;2018;272;186;174;214;303;42;238;190;247;217;326;201
17015;2019;233;85;255;257;316;275;235;340;200;322;432;290
17019;2016;0;0;0;0;1;0;0;0;0;0;0;0
17020;2016;0;0;1;0;0;0;0;0;0;0;0;0
17024;2016;0;0;1;0;0;0;0;0;0;0;0;0
17027;2016;0;2;0;0;0;0;0;0;0;0;0;0
17028;2016;0;0;0;0;0;2;0;0;0;0;0;0
17029;2016;0;0;0;0;0;2;0;0;0;0;0;0
17030;2016;0;0;0;0;0;2;0;0;0;0;0;0
17031;2016;0;3;0;0;0;0;1;1;0;0;2;1
17031;2017;0;0;0;4;4;3;1;2;0;1;0;6
17031;2018;2;0;0;0;0;0;0;0;0;0;0;0
17032;2018;4;0;0;0;0;0;0;0;0;0;0;0
17032;2017;0;0;0;4;1;6;1;3;0;0;5;1
17032;2016;0;3;0;0;0;0;1;1;0;0;3;0
17033;2016;0;3;0;0;0;0;1;1;0;0;3;0
17033;2017;0;0;0;4;1;3;3;3;0;4;6;0
17033;2018;0;0;2;1;2;1;0;2;1;0;0;2
17034;2018;0;0;0;0;0;0;0;0;0;1;0;0
17034;2017;0;0;0;4;2;5;0;3;0;1;6;3
17034;2016;1;2;0;0;0;0;0;2;0;0;1;2
17035;2016;0;3;0;0;0;0;2;0;0;0;2;1
17035;2017;0;0;0;4;3;3;1;2;0;2;6;2
17035;2018;0;0;3;1;2;0;0;2;1;0;0;2
17035;2019;0;0;0;0;0;0;0;0;0;0;0;3
17036;2018;4;1;3;0;3;0;2;1;0;0;0;2
17036;2017;0;0;0;4;1;6;2;3;0;3;2;1
17036;2016;1;2;0;0;0;0;0;2;0;0;2;1
17037;2016;3;0;0;0;0;0;0;2;0;0;0;0
17037;2017;0;0;0;4;5;3;0;3;0;3;3;3
17037;2018;4;0;3;0;3;0;1;1;1;0;1;1
17037;2019;0;0;0;0;0;0;0;0;0;0;0;3
17038;2016;3;0;0;0;0;0;2;0;0;0;1;0
17039;2016;1;2;0;0;0;0;0;0;0;0;3;0
17039;2017;0;0;0;4;1;4;6;0;0;5;7;1
17039;2018;0;0;3;1;2;0;0;2;1;0;0;2
17039;2019;0;0;0;0;0;0;0;0;0;0;0;3
17040;2019;0;0;0;0;0;0;0;0;0;0;1;2
17040;2018;0;0;3;0;3;0;0;2;1;0;0;1
17040;2017;0;0;0;4;1;7;2;1;0;5;4;3
17040;2016;2;1;0;0;0;0;0;0;0;0;3;0
17041;2016;0;3;0;0;0;0;0;0;0;0;1;2
17041;2017;0;0;0;4;2;4;2;3;0;4;1;0
17041;2018;0;0;3;1;2;0;1;2;0;0;0;2
17042;2018;0;0;0;0;0;0;0;0;2;0;0;1
17042;2017;0;0;0;3;1;0;0;0;0;0;0;0
17042;2019;0;1;0;0;0;0;0;0;0;0;0;2
17043;2016;1;1;2;0;0;1;0;0;0;1;0;0
17043;2018;0;0;0;0;1;1;0;0;0;0;0;0
17044;2016;1;0;0;0;0;0;0;1;0;1;0;1
17044;2017;0;0;0;0;1;0;2;0;0;0;0;0
17045;2017;0;0;0;1;1;0;0;0;0;0;0;1
17045;2016;0;0;0;0;0;2;0;0;0;0;0;2
17045;2018;1;0;0;0;0;1;1;0;0;0;0;0
17046;2018;2;0;0;0;0;0;1;1;0;0;0;0
17046;2016;0;0;0;0;0;0;0;1;1;0;1;1
17046;2017;0;0;0;1;1;0;0;0;0;0;0;0
17047;2017;0;0;0;0;0;2;0;0;0;0;1;1
17047;2016;0;0;0;0;0;2;1;0;1;0;0;2
17047;2018;0;0;0;0;2;0;0;0;0;0;0;0
17048;2018;1;0;0;0;0;1;1;0;0;0;0;0
17048;2016;0;0;1;0;0;1;0;1;0;0;1;1
17048;2017;0;0;0;0;1;1;0;0;0;0;0;1
17049;2017;0;0;0;1;1;0;0;0;0;0;1;0
17049;2016;0;0;0;0;0;2;0;0;0;2;0;2
17049;2018;1;0;0;0;1;0;0;1;0;0;0;0
17060;2016;0;0;0;0;2;0;0;0;0;0;0;0
17061;2016;12;21;26;51;43;22;8;0;0;0;0;0
17061;2017;0;0;0;0;0;0;0;0;8;18;15;21
17061;2018;17;12;85;0;0;0;0;0;0;0;0;0
17061;2019;16;23;33;21;23;11;0;0;0;17;18;1
17062;2019;15;52;40;46;50;41;3;0;0;0;0;0
17062;2018;32;30;51;0;0;0;0;0;0;0;0;0
17062;2017;42;79;46;0;0;22;19;26;18;31;49;14
17062;2016;6;31;18;0;0;4;6;5;52;0;0;0
17063;2016;0;0;0;0;0;9;15;30;29;39;44;79
17063;2017;106;41;63;35;0;61;65;47;34;46;37;50
17063;2018;21;6;6;0;0;16;49;41;84;51;58;0
17063;2019;58;39;23;0;78;65;0;0;0;42;44;19
17064;2019;52;36;78;72;48;73;0;0;0;33;29;2
17064;2018;21;15;27;7;0;20;24;27;18;22;8;0
17064;2017;16;16;22;22;71;55;22;11;36;8;13;23
17064;2016;5;15;23;45;16;3;10;24;17;18;22;9
17065;2016;0;0;0;0;0;16;16;33;37;73;42;24
17066;2016;17;31;11;0;0;0;0;0;0;0;0;0
17067;2016;20;21;21;0;0;20;10;22;41;0;0;0
17067;2017;36;42;16;0;0;21;27;67;7;33;24;36
17067;2018;0;0;0;0;0;10;33;72;41;0;0;0
17067;2019;26;22;0;0;41;83;2;0;0;22;11;9
17068;2016;0;0;0;0;0;4;1;5;7;11;8;1
17069;2016;6;0;0;0;0;7;18;20;18;36;58;5
17069;2017;5;20;35;16;2;38;44;27;27;55;30;34
17069;2018;39;14;15;2;2;49;78;31;0;0;0;0
17069;2019;0;0;0;0;49;103;6;0;0;1;0;0
17070;2019;133;73;87;119;53;97;72;243;0;0;0;0
17070;2018;94;15;0;0;0;129;124;71;87;81;66;22
17070;2017;46;96;114;42;0;133;95;136;133;135;75;84
17070;2016;0;0;0;0;0;41;58;57;91;113;175;60
17071;2016;0;0;0;0;0;4;7;24;36;59;32;0
17072;2016;0;0;0;0;0;10;14;20;43;45;148;0
17072;2017;0;0;24;17;0;0;0;0;0;26;13;18
17072;2018;30;28;37;59;81;105;0;0;0;0;0;0
17072;2019;0;0;0;0;0;0;0;0;0;39;23;12
17073;2019;0;0;0;0;0;3;16;0;0;0;0;0
17073;2018;12;3;0;0;0;0;6;6;7;65;6;0
17073;2017;9;24;22;20;21;3;9;17;8;5;7;14
17073;2016;0;0;0;0;0;58;99;0;0;0;0;0
17074;2017;56;255;119;68;114;68;92;100;227;356;242;19
17074;2018;0;0;178;128;86;127;36;0;27;91;84;0
17074;2019;89;33;65;115;10;0;232;49;0;0;0;0
17075;2019;13;32;0;0;8;39;22;4;2;10;7;19
17075;2018;0;0;0;0;0;5;28;22;52;26;0;0
17075;2017;4;22;25;7;4;32;24;24;17;20;15;0
17075;2016;26;17;0;0;0;21;29;0;0;0;0;0
17076;2016;0;0;0;0;0;1;7;4;5;2;0;0
17076;2017;9;28;15;3;0;33;33;2;18;66;36;14
17076;2018;0;0;0;0;0;20;100;44;0;0;0;0
17076;2019;14;65;234;0;0;0;0;0;0;67;78;54
17077;2019;134;273;339;418;14;0;0;0;0;103;96;126
17077;2018;0;0;0;0;0;40;115;119;228;89;1;0
17077;2017;137;122;105;100;45;166;141;3;120;155;121;0
17077;2016;6;35;39;40;22;263;169;0;0;0;0;0
17078;2016;20;41;57;123;34;35;54;82;127;0;0;0
17078;2017;26;60;53;10;0;44;77;152;65;83;88;42
17078;2018;45;1;0;0;0;28;94;4;0;0;0;0
17078;2019;68;49;67;97;69;346;0;0;0;32;30;13
17079;2019;6;4;4;2;2;1;2;2;1;1;0;1
17079;2018;7;15;10;13;5;2;0;0;0;0;0;0
17079;2017;0;0;0;0;0;0;0;0;1;4;3;2
17079;2016;0;0;0;0;0;2;8;13;5;10;8;0
17080;2016;1;2;0;0;0;0;0;0;0;0;2;1
17080;2017;0;0;0;0;2;1;1;2;0;1;1;2
17081;2017;2;1;1;0;0;0;0;0;0;0;0;0
17081;2016;5;1;3;18;0;14;1;3;2;2;1;12
17082;2016;8;3;3;16;2;13;12;3;3;0;1;5
17082;2017;0;1;1;3;0;2;0;0;0;0;0;0
17085;2017;32;51;43;103;154;124;154;41;112;108;35;59
17085;2016;38;51;59;0;0;55;218;0;0;0;0;0
17085;2018;162;163;180;0;0;32;44;0;0;0;0;0
17085;2019;34;175;82;0;73;89;53;0;0;90;174;9
17086;2019;40;43;42;102;36;0;0;0;0;12;15;41
17086;2018;1;0;0;0;0;32;51;69;26;0;0;0
17086;2016;48;25;54;81;62;33;18;38;76;13;0;0
17086;2017;44;82;54;76;10;37;26;80;26;64;54;2
17087;2017;15;21;22;24;26;28;29;23;21;37;24;27
17087;2016;10;24;21;34;28;18;35;37;21;28;23;27
17087;2018;24;17;38;47;37;56;25;30;23;26;14;15
17087;2019;14;23;24;10;17;11;20;19;36;17;13;17
17089;2019;24;24;0;0;28;39;81;119;4;20;23;39
17089;2018;0;0;0;0;0;26;97;54;0;0;0;0
17089;2016;20;58;63;14;0;36;88;55;0;0;0;0
17089;2017;153;27;102;66;5;87;91;0;39;96;55;0
17090;2016;4;5;2;1;0;5;8;11;12;21;26;5
17091;2016;12;21;52;14;0;0;0;0;0;0;0;0
17092;2016;0;0;0;0;0;7;15;21;84;0;0;0
17093;2016;5;1;3;0;0;19;42;36;25;0;0;0
17093;2017;48;39;26;3;0;37;28;28;61;16;14;14
17093;2018;15;23;61;56;5;23;67;28;0;0;0;0
17093;2019;6;17;26;29;42;30;31;115;9;0;0;0
17094;2019;16;31;16;21;18;17;7;77;0;18;5;0
17094;2018;176;21;7;0;0;0;0;0;0;0;0;0
17094;2017;42;17;30;30;0;8;17;20;54;12;6;7
17094;2016;0;0;0;0;0;15;19;29;29;25;0;0
17095;2016;14;25;12;0;0;26;21;27;24;20;2;0
17095;2017;34;13;26;33;51;40;19;25;70;23;46;19
17095;2018;42;36;3;0;0;36;21;37;101;38;7;0
17095;2019;19;40;49;50;52;85;117;41;0;0;0;0
17096;2019;49;68;80;112;76;87;382;4;0;0;0;0
17096;2018;35;50;230;138;400;0;0;0;0;0;0;0
17096;2017;24;44;43;104;244;108;39;93;88;78;37;22
17096;2016;133;91;140;12;0;12;25;57;72;149;82;1
17097;2016;50;16;55;52;0;14;35;50;20;0;0;0
17097;2017;42;52;61;5;0;55;95;6;16;76;50;73
17097;2018;20;8;0;0;0;43;121;125;30;0;0;0
17097;2019;47;72;87;90;78;119;44;15;0;53;73;64
17098;2019;39;50;0;0;25;28;11;0;0;43;37;47
17098;2018;1;0;0;0;0;11;87;0;0;0;0;0
17098;2017;42;60;0;0;0;41;49;4;32;50;55;26
17098;2016;2;3;10;25;19;39;26;0;0;0;0;0
17099;2016;16;24;51;49;27;17;38;58;51;13;0;0
17099;2017;0;0;0;0;0;0;0;0;15;17;17;16
17099;2018;14;13;64;25;0;0;0;0;0;0;0;0
17099;2019;11;20;18;13;16;275;0;0;0;0;0;0
17100;2019;64;152;134;198;146;102;112;152;0;50;58;85
17100;2018;1;0;0;0;0;16;86;75;189;107;84;25
17100;2017;133;129;149;105;0;102;137;0;66;100;126;65
17100;2016;16;8;11;28;36;424;59;0;0;0;0;0
17101;2016;21;48;53;28;0;0;0;0;0;0;0;0
17102;2016;44;46;16;0;0;63;95;120;20;0;0;0
17102;2017;49;117;112;77;39;93;107;0;62;135;0;0
17102;2018;0;0;0;0;0;79;96;143;177;1;0;0
17102;2019;43;148;77;147;96;258;0;0;0;54;87;96
17103;2019;7;13;17;16;11;10;22;89;0;0;0;0
17103;2016;9;101;8;0;0;6;12;14;23;25;15;0
17104;2016;20;72;0;0;0;11;4;16;24;30;11;0
17104;2019;12;13;13;11;9;12;19;141;0;0;0;0
17105;2019;15;22;0;0;0;0;0;0;0;0;0;0
17105;2016;0;0;0;0;0;12;11;13;26;30;48;28
17105;2017;4;0;0;0;0;0;0;0;0;0;0;0
17106;2017;22;0;0;0;0;0;0;0;0;0;0;0
17106;2016;0;0;0;0;0;10;50;25;62;70;119;199
17106;2019;12;51;37;62;19;0;5;0;0;0;0;0
17107;2019;2;9;13;8;5;12;3;4;0;18;20;2
17107;2016;0;0;0;0;0;10;8;3;11;17;17;9
17107;2017;3;11;8;9;0;9;4;5;5;3;5;7
17107;2018;3;4;4;18;18;71;7;6;14;16;11;0
17108;2018;11;15;8;19;27;33;18;9;20;23;30;0
17108;2017;10;16;22;14;9;10;7;7;8;6;8;8
17108;2016;9;14;17;37;0;3;12;11;28;25;0;0
17108;2019;6;13;15;0;7;19;24;4;0;13;16;6
17109;2019;76;250;182;143;113;0;0;0;0;72;54;25
17109;2016;0;0;0;0;0;63;71;120;46;0;0;0
17109;2017;101;153;108;185;231;208;92;0;41;166;85;4
17109;2018;0;0;0;0;0;98;190;198;107;0;0;0
17110;2016;42;19;24;41;69;19;21;16;50;0;0;0
17111;2016;4;10;9;6;9;3;3;5;1;1;0;0
17111;2017;0;0;0;0;0;0;0;7;8;7;0;0
17111;2018;2;4;0;6;5;1;3;5;3;1;0;0
17112;2016;3;11;4;4;10;4;10;3;7;0;0;0
17113;2016;16;18;24;15;33;11;32;0;0;0;0;0
17113;2018;0;0;0;0;0;0;0;0;0;0;3;4
17113;2019;1;2;2;1;2;1;2;4;2;2;2;1
17114;2016;2;7;7;5;2;4;4;2;5;4;4;18
17114;2017;1;1;1;1;0;0;0;0;0;0;0;0
17116;2017;0;0;0;0;0;0;0;4;5;2;0;1
17116;2016;0;0;0;0;4;4;8;5;3;0;0;0
17117;2016;4;14;4;6;3;5;1;0;0;0;0;0
17118;2016;7;7;9;6;6;6;1;1;1;1;0;0
17119;2016;44;17;16;25;28;23;14;0;0;0;0;0
17119;2018;0;0;1;0;0;0;0;0;0;0;0;0
17120;2016;3;5;3;3;0;0;0;0;0;0;0;0
17121;2016;0;0;1;4;4;3;2;1;0;0;0;0
17122;2016;2;0;3;4;0;2;0;0;0;0;0;0
17123;2016;0;12;9;0;1;1;7;3;1;0;0;0
17125;2016;0;0;0;12;14;22;11;0;0;0;0;0
17126;2016;0;4;4;1;1;11;11;7;7;0;0;0
17127;2016;1;4;3;0;5;12;9;12;1;0;0;0
17128;2016;1;3;9;5;4;13;15;5;6;2;0;0
17129;2016;1;1;4;7;8;7;5;0;3;12;0;0
17130;2016;0;0;1;1;2;8;7;3;0;0;0;0
17131;2016;0;2;0;1;1;3;9;0;4;2;0;0
17132;2016;0;0;4;20;12;43;14;39;39;30;31;59
17132;2017;21;13;10;32;52;23;28;35;40;41;37;1
17132;2018;2;33;30;40;28;20;26;32;34;49;27;17
17132;2019;20;0;0;38;52;11;21;8;8;16;12;5
17133;2016;3;3;0;1;0;22;0;0;0;0;0;0
17134;2016;3;5;5;6;6;3;3;11;0;6;8;17
17134;2017;8;31;18;6;6;3;0;0;0;43;5;7
17134;2018;16;7;9;7;11;8;10;13;4;14;14;10
17134;2019;3;0;0;0;2;3;1;6;7;1;4;4
17135;2019;0;27;0;0;3;15;2;7;8;4;3;4
17135;2018;11;4;15;14;20;2;0;0;2;20;20;21
17135;2017;0;0;0;0;0;0;0;0;0;44;17;17
17135;2016;5;9;10;12;7;13;7;7;13;27;11;0
17136;2016;1;0;0;1;4;4;2;6;1;1;1;4
17136;2017;0;8;5;0;0;0;0;0;0;40;2;1
17136;2018;2;2;1;1;3;0;3;3;1;1;0;1
17136;2019;1;7;0;1;0;1;2;3;14;1;18;0
17137;2019;9;11;6;5;2;0;0;4;4;2;6;1
17137;2018;10;1;0;0;4;3;6;7;5;5;10;11
17137;2017;7;35;17;7;17;22;11;11;8;33;9;10
17137;2016;6;7;3;2;5;6;0;0;0;5;11;16
17138;2016;2;6;3;1;9;7;4;5;0;0;2;1
17138;2017;0;1;2;0;0;0;0;0;0;41;3;3
17138;2018;1;3;3;2;4;4;2;4;0;3;2;3
17138;2019;5;6;2;4;1;1;1;3;15;3;0;4
17139;2019;2;6;1;2;0;2;1;1;4;3;0;0
17139;2018;0;1;1;2;2;0;4;4;3;9;1;2
17139;2017;3;6;19;2;4;6;33;0;0;0;3;0
17139;2016;0;1;0;3;3;1;1;1;6;2;5;1
17140;2016;6;7;12;1;0;0;0;0;0;6;27;19
17140;2017;23;54;46;15;0;0;0;0;0;45;23;11
17140;2018;22;20;20;5;21;22;19;25;20;21;15;0
17140;2019;5;44;0;0;11;30;11;11;6;13;19;5
17141;2019;4;6;1;3;1;3;1;4;5;3;0;1
17141;2018;1;4;4;6;5;3;5;3;1;3;5;6
17141;2017;1;3;13;8;5;0;0;0;0;0;2;8
17141;2016;0;2;2;1;4;3;2;1;3;2;2;1
17142;2016;0;1;1;0;1;0;2;1;0;3;0;0
17142;2017;3;1;0;1;0;1;1;3;2;2;1;2
17142;2018;1;2;0;0;0;1;2;0;2;1;0;0
17142;2019;1;0;1;0;0;0;0;0;0;0;0;0
17143;2019;1;1;0;2;2;2;2;0;1;0;0;1
17143;2018;5;4;1;4;2;2;2;2;0;1;0;1
17143;2017;1;0;0;1;1;0;1;1;0;1;2;8
17143;2016;0;0;0;0;0;0;0;0;0;11;6;4
17144;2016;0;0;0;5;21;24;24;24;6;15;0;0
17144;2017;0;0;0;13;21;66;0;9;29;24;16;10
17144;2018;14;25;22;33;18;0;0;0;0;17;4;14
17144;2019;17;15;42;10;9;5;15;2;2;6;2;1
17145;2016;2;6;21;20;0;0;0;0;0;0;0;0
17146;2016;0;0;0;1;24;17;3;10;4;0;0;0
17146;2017;0;0;0;2;14;11;3;6;6;5;2;0
17146;2018;5;3;4;6;3;2;1;4;1;5;2;4
17146;2019;11;0;0;0;0;0;4;3;10;2;1;1
17147;2019;0;0;0;1;3;1;1;1;2;0;3;1
17147;2018;0;1;3;4;4;6;0;2;3;2;9;0
17147;2017;0;0;0;1;0;2;2;0;1;2;3;1
17147;2016;2;6;3;1;2;0;0;0;6;12;6;0
17148;2016;0;0;0;0;0;5;19;9;11;0;0;0
17148;2017;0;0;0;0;0;0;0;7;8;4;0;0
17148;2018;0;3;3;7;3;14;0;0;0;0;0;0
17149;2016;0;2;7;6;1;0;0;0;0;0;0;0
17150;2016;0;1;3;2;6;8;0;0;0;0;0;0
17151;2016;0;1;5;6;5;7;1;0;0;0;0;0
17153;2016;413;741;364;167;0;242;406;433;537;515;604;930
17153;2017;435;255;307;294;136;335;1255;852;364;218;283;863
17153;2018;351;224;211;259;405;284;220;348;343;558;650;783
17153;2019;0;0;0;693;214;429;708;384;389;725;409;564
17155;2019;1;0;0;0;2;1;1;0;1;0;3;0
17155;2018;0;14;0;0;0;0;0;2;4;0;0;0
17155;2017;6;1;2;13;1;0;4;5;5;6;11;0
17155;2016;0;3;1;2;2;9;46;3;4;4;1;7
17156;2016;6;8;5;22;3;2;94;2;4;8;3;4
17156;2017;5;8;3;13;1;1;22;4;2;2;10;0
17156;2018;2;59;5;4;7;16;4;11;11;5;8;3
17156;2019;3;3;5;4;4;3;7;0;5;1;2;1
17157;2019;8;6;7;14;28;1;8;2;9;53;12;8
17157;2018;3;8;6;9;9;5;12;21;21;4;5;5
17157;2017;0;0;0;2;3;26;29;4;21;14;11;4
17157;2016;7;15;23;8;44;15;96;5;18;14;12;11
17158;2016;7;9;3;15;2;0;32;3;2;1;2;3
17158;2017;4;1;9;12;3;6;1;4;3;2;11;3
17158;2018;2;2;9;4;4;14;2;4;11;6;127;0
17158;2019;2;12;10;9;1;5;0;6;1;1;90;0
17159;2019;13;6;8;18;19;19;25;7;8;14;31;0
17159;2018;2;5;5;2;21;7;6;7;10;10;9;5
17159;2017;11;10;19;19;30;21;18;21;7;7;20;12
17159;2016;23;43;17;0;3;26;30;32;27;11;5;39
17160;2016;11;6;0;0;1;23;32;29;32;4;9;13
17160;2017;16;12;9;6;7;19;10;16;14;17;11;11
17160;2018;16;1;8;4;24;2;0;3;9;5;4;2
17160;2019;19;12;0;0;0;0;0;0;0;0;0;0
17161;2019;0;0;0;0;155;121;179;84;199;81;64;100
17161;2018;977;129;94;70;860;118;267;141;138;107;203;1128
17161;2017;10;0;0;28;42;60;49;38;91;62;58;349
17161;2016;69;97;0;0;0;61;721;84;149;336;1007;245
17162;2016;0;2;0;1;1;0;1;1;1;2;2;4
17162;2017;0;0;5;1;2;2;1;1;0;2;1;3
17162;2018;5;0;0;0;0;0;0;0;0;0;0;0
17163;2018;232;17;32;9;0;0;0;0;0;1;4;1
17163;2017;25;8;27;72;7;113;23;18;113;110;54;24
17163;2016;129;48;70;42;37;74;49;49;50;137;150;182
17163;2019;4;0;0;0;0;0;0;0;0;0;0;5
17164;2019;0;1;0;0;4;5;101;0;1;0;0;68
17164;2016;513;81;57;83;60;55;200;343;59;101;263;0
17164;2017;29;28;137;123;144;139;2;80;605;118;36;2
17164;2018;4;9;109;17;17;24;12;13;13;5;5;2
17165;2018;10;22;18;10;7;15;0;0;0;0;0;0
17165;2017;24;12;6;0;0;0;0;0;0;0;3;35
17165;2016;2;3;11;3;8;7;1;10;21;20;9;32
17165;2019;3;17;10;13;7;11;10;10;11;0;5;39
17166;2016;6;4;13;7;12;15;10;9;15;12;9;8
17167;2016;0;1;1;8;1;3;6;9;4;12;10;24
17167;2017;24;26;12;34;0;0;0;0;0;0;0;0
17168;2016;8;28;7;9;10;12;10;15;15;31;22;29
17169;2016;6;3;25;24;42;61;4;0;0;0;0;0
17170;2016;0;0;0;0;0;19;86;65;63;45;74;0
17170;2017;0;0;0;68;281;234;16;0;0;0;10;183
17170;2018;143;127;130;116;156;116;81;136;98;83;76;102
17170;2019;42;41;91;115;87;104;118;88;43;0;22;204
17171;2019;34;33;34;9;19;27;0;31;27;13;2;32
17171;2018;15;21;19;42;65;65;14;29;42;55;38;44
17171;2017;0;0;0;32;189;17;0;0;0;0;4;29
17171;2016;4;10;16;2;0;15;38;42;24;0;0;0
17172;2016;8;8;9;16;2;0;28;14;13;24;31;10
17172;2017;0;0;0;8;163;55;14;0;0;0;0;63
17172;2018;34;25;55;28;52;48;38;45;60;49;48;69
17172;2019;17;18;26;20;28;31;31;38;24;9;0;20
17173;2016;0;0;0;0;0;45;45;21;10;0;0;0
17174;2016;4;5;11;10;5;14;22;14;18;3;0;0
17174;2017;0;0;0;9;133;83;13;0;0;0;3;29
17174;2018;32;15;21;30;16;27;26;39;26;25;24;36
17174;2019;21;12;24;47;36;24;0;0;0;0;4;28
17175;2016;2;0;2;7;8;9;7;6;7;6;0;0
17176;2016;4;9;5;0;0;8;7;1;7;28;5;15
17176;2017;0;0;0;0;0;0;0;0;0;0;3;43
17176;2018;20;30;10;13;0;0;0;0;0;0;0;0
17176;2019;9;25;20;13;14;18;21;0;0;0;0;0
17177;2019;2;17;30;35;42;31;16;26;21;16;39;48
17177;2018;21;22;45;62;29;12;12;7;2;0;0;0
17177;2017;0;0;0;9;23;67;182;112;145;219;91;64
17177;2016;12;18;29;24;17;43;85;37;40;127;192;23
17178;2016;10;19;29;43;53;50;91;25;20;12;0;0
