sku;Ano;Janeiro;Fevereiro;Marco;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
10075;2018;1250;733;878;847;716;1055;1463;1266;1043;1014;1739;755
10075;2019;0;0;0;1268;1129;1155;0;3596;3;0;315;2685
10076;2019;0;0;0;0;0;0;0;3;16;1;3;16
10076;2018;26;28;23;43;28;46;43;46;41;39;45;74
10076;2017;28;12;17;14;47;38;26;32;38;26;26;67
10076;2016;29;36;16;25;21;31;32;39;23;30;32;163
10077;2016;63;138;36;58;43;30;11;0;0;0;0;114
10077;2017;97;3;29;34;31;35;73;64;23;47;6;42
10077;2018;20;45;13;62;40;36;37;73;33;41;34;91
10077;2019;50;0;0;41;35;22;45;29;12;4;10;31
10080;2017;5;4;0;7;5;3;2;3;4;19;2;1
10080;2016;3;2;32;2;9;3;0;0;0;0;1;4
10081;2016;5;12;12;13;9;20;22;23;18;21;24;54
10081;2017;8;19;10;9;22;13;16;20;26;22;13;21
10081;2018;13;21;6;10;12;13;15;19;13;15;12;51
10081;2019;68;8;26;7;11;12;10;11;27;17;15;51
10082;2019;7;22;13;9;20;17;23;43;18;16;86;35
10082;2018;12;20;117;31;79;44;56;25;26;21;0;50
10082;2017;34;21;20;11;18;32;112;108;69;28;42;60
10082;2016;6;16;22;15;16;29;23;36;10;282;27;26
10083;2016;27;33;22;16;23;24;134;50;24;138;82;65
10083;2017;39;38;45;19;58;73;132;142;43;60;77;205
10083;2018;47;64;104;77;73;84;84;27;0;0;0;179
10083;2019;20;5;19;25;42;35;47;32;25;44;89;88
10085;2019;5;21;22;7;21;9;11;18;13;10;7;63
10085;2018;0;0;3;21;25;20;13;15;16;18;11;9
10085;2017;49;19;0;0;23;47;31;18;47;18;25;30
10085;2016;25;8;24;31;29;16;43;18;34;17;26;74
10086;2016;0;0;0;41;105;95;227;90;306;136;76;310
10086;2017;258;404;358;111;147;135;97;121;398;177;113;166
10086;2018;89;125;71;63;98;108;98;154;459;93;121;153
10086;2019;70;97;0;49;130;169;0;40;113;145;83;408
10087;2019;0;0;0;26;52;33;33;71;56;16;3;13
10087;2018;41;34;24;12;29;81;22;67;69;0;0;0
10087;2017;64;42;81;71;38;44;74;73;10;12;42;30
10087;2016;35;12;7;12;21;65;17;19;15;25;19;155
10088;2016;0;1;1;0;0;3;0;0;2;3;0;3
10088;2017;1;0;1;2;2;1;5;0;0;5;5;5
10088;2018;4;0;0;0;1;2;0;2;0;2;0;1
10088;2019;0;0;1;1;0;3;1;2;0;3;0;2
10090;2019;27;30;28;13;74;30;7;37;23;24;33;77
10090;2018;3;0;9;38;52;63;48;62;58;37;37;61
10090;2017;0;0;0;0;46;51;47;91;86;78;63;97
10090;2016;0;2;40;47;46;24;51;80;71;34;24;0
10092;2016;197;275;64;44;102;89;48;42;35;50;329;538
10092;2017;89;102;55;57;134;64;87;78;119;45;46;75
10092;2018;98;218;784;93;127;96;48;15;10;64;50;58
10092;2019;48;88;84;75;36;122;63;43;56;90;66;154
10093;2019;45;142;92;0;93;87;23;207;109;77;33;124
10093;2018;0;1;0;0;0;107;59;92;179;84;102;67
10093;2017;0;0;0;0;0;0;0;0;0;0;163;87
10093;2016;155;57;0;0;0;0;36;76;59;100;104;38
10094;2016;43;53;51;109;135;162;5;0;104;345;354;314
10094;2017;223;195;299;292;384;337;239;255;261;332;211;239
10094;2018;132;248;428;224;200;262;223;276;329;309;217;148
10094;2019;162;166;179;125;310;248;280;367;193;0;24;134
10095;2019;8;19;6;17;23;27;24;17;12;19;18;12
10095;2018;30;44;49;44;48;40;20;0;0;18;31;22
10095;2017;39;45;35;22;16;23;23;20;17;32;20;60
10095;2016;0;0;0;0;31;36;54;26;25;20;33;70
10097;2016;0;0;19;18;12;10;0;0;6;47;12;115
10097;2017;34;13;7;5;0;8;19;22;21;17;13;20
10097;2018;0;19;24;12;20;28;7;12;10;21;26;73
10097;2019;14;12;13;0;0;0;0;12;21;12;15;60
10099;2019;5;1;0;2;1;1;0;0;4;0;1;10
10099;2018;0;1;0;0;1;0;3;0;0;1;6;8
10099;2016;0;0;0;0;0;0;0;0;0;8;1;3
10100;2016;0;0;103;51;72;11;0;0;24;39;58;174
10100;2017;64;49;40;83;58;65;54;0;0;0;0;0
10100;2018;0;40;73;60;86;72;61;88;60;67;60;98
10100;2019;67;54;5;10;32;13;0;60;25;26;37;135
10101;2019;0;0;0;9;14;29;5;51;12;13;18;37
10101;2018;0;0;0;18;18;17;56;32;40;14;77;22
10101;2017;11;10;26;26;30;7;11;37;39;77;36;14
10101;2016;22;42;11;0;0;0;0;0;33;23;38;28
10102;2016;0;0;19;26;9;39;11;32;36;12;58;86
10102;2017;60;46;43;21;64;29;8;11;20;14;11;51
10102;2018;24;63;33;62;18;27;27;45;9;49;28;28
10102;2019;11;48;39;54;23;15;46;30;9;29;35;54
10103;2019;96;72;52;117;61;43;50;35;31;86;73;126
10103;2018;70;134;73;150;67;86;52;0;4;195;66;86
10103;2017;64;85;109;97;133;82;113;159;106;137;61;116
10103;2016;99;114;98;99;57;92;86;59;0;0;0;161
10104;2016;0;0;3;4;11;48;14;44;37;19;49;52
10104;2017;6;11;3;11;46;1;0;7;39;16;7;30
10104;2018;31;8;29;35;2;4;8;11;19;18;9;21
10104;2019;19;24;10;18;27;5;32;9;15;6;19;20
10105;2019;8;18;3;6;5;4;5;3;1;1;7;11
10105;2018;4;1;5;6;4;7;3;0;1;9;13;3
10105;2017;3;4;5;9;40;5;19;17;1;11;1;0
10105;2016;0;0;2;4;6;31;14;23;30;15;41;49
10106;2016;6;3;4;3;4;8;7;9;3;12;5;10
10106;2017;15;0;0;0;0;0;0;0;0;0;0;0
10106;2018;0;0;0;0;0;0;0;0;0;0;0;1
10106;2019;0;1;6;1;0;0;0;1;0;0;0;2
10107;2019;4;3;11;7;24;13;0;7;26;5;0;25
10107;2018;21;5;12;1;22;10;4;9;8;16;14;14
10107;2017;0;0;0;0;15;23;45;16;19;10;16;39
10107;2016;1;0;19;13;16;15;3;6;8;21;53;5
10108;2016;14;18;14;0;0;0;0;0;0;0;0;0
10109;2016;1;0;7;0;0;1;0;0;0;6;2;3
