sku;I;II;III;V;Descripcion;Articulo
18176;NAO ALIMENTAR;PESSOAL;LAZER;FESTA;Vela aniversario home7 magica 10un;Vela aniversario home7 magica 10un
18177;NAO ALIMENTAR;CASA;LIMPIEZA;AMBIENTADORES;Ambientador vela airwick antitabaco;Ambientador vela airwick antitabaco
18178;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE INFANTIL;Oleo bebe johnson's aloe 300ml;Oleo bebe johnson's aloe 300ml
18179;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE CORPORAL;Esponja banho actibel;Esponja banho actibel
18180;NAO ALIMENTAR;PESSOAL;LAZER;FESTA;Vela aniversario home7 0;Vela aniversario home7 0
18181;NAO ALIMENTAR;PESSOAL;LAZER;FESTA;Vela aniversario home7 1;Vela aniversario home7 1
18182;NAO ALIMENTAR;PESSOAL;LAZER;FESTA;Vela aniversario home7 2;Vela aniversario home7 2
18183;NAO ALIMENTAR;PESSOAL;LAZER;FESTA;Vela aniversario home7 3;Vela aniversario home7 3
18184;NAO ALIMENTAR;PESSOAL;LAZER;FESTA;Vela aniversario home7 4;Vela aniversario home7 4
18185;NAO ALIMENTAR;PESSOAL;LAZER;FESTA;Vela aniversario home7 5;Vela aniversario home7 5
18186;NAO ALIMENTAR;PESSOAL;LAZER;FESTA;Vela aniversario home7 6;Vela aniversario home7 6
18187;NAO ALIMENTAR;PESSOAL;LAZER;FESTA;Vela aniversario home7 7;Vela aniversario home7 7
18188;NAO ALIMENTAR;PESSOAL;LAZER;FESTA;Vela aniversario home7 8;Vela aniversario home7 8
18189;NAO ALIMENTAR;PESSOAL;LAZER;FESTA;Vela aniversario home7 9;Vela aniversario home7 9
18190;NAO ALIMENTAR;PESSOAL;SAUDE;PRODUTOS SOLARES;Spray ambre solaire clear protect pf30;Spray ambre solaire clear protect pf30
18191;NAO ALIMENTAR;PESSOAL;SAUDE;PRODUTOS SOLARES;Leite ambre solaire hidratante crianca pf50+;Leite ambre solaire hidratante crianca pf50+
18192;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE CORPORAL;Serum pantene repara protege pontas 75ml;Serum pantene repara protege pontas 75ml
18193;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA CASA;Lavatudo amanhecer floral 2l;Lavatudo amanhecer floral 2l
18194;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA CASA;Lavatudo chao amanhecer limao 1.5l;Lavatudo chao amanhecer limao 1.5l
18196;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA WC;Bloco sanitario sup ultra pro marinho +2rec;Bloco sanitario sup ultra pro marinho +2rec
18197;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO DOURO;Vinha grande t 750ml;Vinha grande t 750ml
18198;NAO ALIMENTAR;PESSOAL;LAZER;PRAIA / CAMPISMO;Acumulador frio k400;Acumulador frio k400
18199;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Calice 38cl rioja cor;Calice 38cl rioja cor
18200;NAO ALIMENTAR;PESSOAL;LAZER;FESTA;Tubo confettis;Tubo confettis
18201;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Assadeira rect gres 32,5x19;Assadeira rect gres 32,5x19
18202;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Assadeira rect gres 37,5x22;Assadeira rect gres 37,5x22
18203;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Assadeira rect gres br 28,5x19;Assadeira rect gres br 28,5x19
18204;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Cacarola c tampa ceramica 2,4l;Cacarola c tampa ceramica 2,4l
18205;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Assadeira quad ceramica 24cm;Assadeira quad ceramica 24cm
18206;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Assadeira rect ceramica 14x12;Assadeira rect ceramica 14x12
18207;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Assadeira rect ceramica 27x19;Assadeira rect ceramica 27x19
18208;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Assadeira quad ceramica 33cm;Assadeira quad ceramica 33cm
18209;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Copo 36cl tubo;Copo 36cl tubo
18210;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Saladeira ceramica 28cm;Saladeira ceramica 28cm
18211;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Taca gelado 22,5cl fiesta;Taca gelado 22,5cl fiesta
18212;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Prato cor 33cm 6un;Prato cor 33cm 6un
18213;ALIMENTAR;MERCEARIA;CONGELADOS;PEIXE CONGELADO;Espadarte posta saco 800gr;Espadarte posta saco 800gr
18214;ALIMENTAR;MERCEARIA;CONGELADOS;PEIXE CONGELADO;Salmao lombo hig kg;Salmao lombo hig kg
18215;ALIMENTAR;MERCEARIA;CONGELADOS;SOBREMESAS CONGELADAS;Ovos moles aveiro 250gr;Ovos moles aveiro 250gr
18216;ALIMENTAR;MERCEARIA;CONGELADOS;SOBREMESAS CONGELADAS;Moliceiro ovos moles 4un;Moliceiro ovos moles 4un
18220;ALIMENTAR;MERCEARIA;CONGELADOS;SOBREMESAS CONGELADAS;Trouxa ovos 4un;Trouxa ovos 4un
18221;ALIMENTAR;MERCEARIA;CONGELADOS;SOBREMESAS CONGELADAS;Truffa ovos moles 9un;Truffa ovos moles 9un
18222;ALIMENTAR;MERCEARIA;CONGELADOS;SOBREMESAS CONGELADAS;Queijinho amendoa ovos moles 6un;Queijinho amendoa ovos moles 6un
18223;ALIMENTAR;MERCEARIA;CONGELADOS;SOBREMESAS CONGELADAS;Castanha ovos 6un;Castanha ovos 6un
18224;ALIMENTAR;MERCEARIA;CONGELADOS;SOBREMESAS CONGELADAS;Quindim 400gr;Quindim 400gr
18225;ALIMENTAR;MERCEARIA;CONGELADOS;SOBREMESAS CONGELADAS;Pastel torres vedras 380gr;Pastel torres vedras 380gr
18226;ALIMENTAR;MERCEARIA;CONGELADOS;GELADOS LOJA;Gelado ovos moles aveiro 150ml;Gelado ovos moles aveiro 150ml
18227;ALIMENTAR;MERCEARIA;CONGELADOS;GELADOS LOJA;Gelado leite creme 150ml;Gelado leite creme 150ml
18228;ALIMENTAR;MERCEARIA;CONGELADOS;GELADOS LOJA;Gelado leite creme 450ml;Gelado leite creme 450ml
18229;ALIMENTAR;MERCEARIA;CONGELADOS;GELADOS LOJA;Gelado requeijao doce abobora 150ml;Gelado requeijao doce abobora 150ml
18230;ALIMENTAR;MERCEARIA;CONGELADOS;GELADOS LOJA;Gelado mirtilo framboesa chocolate 150ml;Gelado mirtilo framboesa chocolate 150ml
18231;ALIMENTAR;MERCEARIA;CONGELADOS;GELADOS LOJA;Gelado mirtilo framboesa chocolate 450ml;Gelado mirtilo framboesa chocolate 450ml
18233;ALIMENTAR;MERCEARIA;CONGELADOS;GELADOS LOJA;Gelado chocolate suspiros 150ml;Gelado chocolate suspiros 150ml
18234;ALIMENTAR;MERCEARIA;CONGELADOS;GELADOS LOJA;Gelado chocolate suspiros 450ml;Gelado chocolate suspiros 450ml
18235;ALIMENTAR;MERCEARIA;CONGELADOS;GELADOS LOJA;Gelado pastel nata 450ml;Gelado pastel nata 450ml
18236;ALIMENTAR;MERCEARIA;CONGELADOS;GELADOS LOJA;Gelado creme leite bolacha maria 450ml;Gelado creme leite bolacha maria 450ml
18237;ALIMENTAR;MERCEARIA;CONGELADOS;GELADOS LOJA;Gelado ananas hortela 150ml;Gelado ananas hortela 150ml
18239;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Flute 23,7cl;Flute 23,7cl
18240;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Copo 36cl smile;Copo 36cl smile
18241;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Chavena cafe 6un vidro;Chavena cafe 6un vidro
18243;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Talheres 24un cor;Talheres 24un cor
18244;NAO ALIMENTAR;PESSOAL;LAZER;PRAIA / CAMPISMO;Cadeira praia;Cadeira praia
18245;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Talheres 16un;Talheres 16un
18246;NAO ALIMENTAR;CASA;MENAGE;NATAL;Prato natal vidro;Prato natal vidro
18248;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Copo 31cl lexington;Copo 31cl lexington
18249;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Copo 35cl london;Copo 35cl london
18250;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Copo alto 36cl niza;Copo alto 36cl niza
18251;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Calice vinho t 32cl;Calice vinho t 32cl
18252;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Calice agua;Calice agua
18253;NAO ALIMENTAR;CASA;MENAGE;NATAL;Prato bolo natal c/ espatula;Prato bolo natal c/ espatula
18254;NAO ALIMENTAR;CASA;MENAGE;NATAL;Servico jantar natal 18pcs;Servico jantar natal 18pcs
18255;NAO ALIMENTAR;PESSOAL;LAZER;BRINQUEDOS;Garrafa infantil 300ml;Garrafa infantil 300ml
18256;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Talheres 4un cor;Talheres 4un cor
18258;ALIMENTAR;MERCEARIA;SECO;CEREAIS;Cereais zero nacional 375gr;Cereais zero nacional 375gr
18259;ALIMENTAR;MERCEARIA;SECO;MASSA;Couscous Milaneza 1kg;Couscous Milaneza 1kg
18260;ALIMENTAR;MERCEARIA;SECO;MASSA;Cuscus nacional 250gr;Cuscus nacional 250gr
18261;ALIMENTAR;MERCEARIA;SECO;FARINHA;Farinha isenta gluten 500g;Farinha isenta gluten 500g
18262;ALIMENTAR;MERCEARIA;SECO;MASSA;Macarrao integral milaneza 500gr;Macarrao integral milaneza 500gr
18263;ALIMENTAR;MERCEARIA;SECO;MASSA;Massa esparguete integral milaneza 500gr;Massa esparguete integral milaneza 500gr
18264;ALIMENTAR;MERCEARIA;SECO;MASSA;Massa espirais colesterol 500gr;Massa espirais colesterol 500gr
18267;ALIMENTAR;MERCEARIA;SECO;BEBIDAS BIO;Bebida amendoa 1l;Bebida amendoa 1l
18268;ALIMENTAR;MERCEARIA;SECO;VEGETARIANO BEM ESTAR;Hamburguer bio vegan;Hamburguer bio vegan
18270;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE CORPORAL;Body scrub virgin coconut oil jasmine 310ml;Body scrub virgin coconut oil jasmine 310ml
18271;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE CORPORAL;Body scrub coconut lemon grass 310ml;Body scrub coconut lemon grass 310ml
18272;ALIMENTAR;MERCEARIA;SECO;VEGETARIANO BEM ESTAR;Hafoti Virgin coconut oil 300ml;Hafoti Virgin coconut oil 300ml
18275;NAO ALIMENTAR;CASA;MENAGE;ACESSORIOS COZINHA;Maq cafe filtro compacta;Maq cafe filtro compacta
18276;NAO ALIMENTAR;CASA;MENAGE;ELECTRODOMESTICOS;Maq cafe filtro;Maq cafe filtro
18277;NAO ALIMENTAR;CASA;MENAGE;ELECTRODOMESTICOS;Jarra electrico;Jarra electrico
18278;NAO ALIMENTAR;CASA;MENAGE;ELECTRODOMESTICOS;Varinha magica;Varinha magica
18279;NAO ALIMENTAR;CASA;MENAGE;ELECTRODOMESTICOS;Varinha magica 3 em 1;Varinha magica 3 em 1
18280;NAO ALIMENTAR;CASA;MENAGE;ELECTRODOMESTICOS;Balanca cozinha digital;Balanca cozinha digital
18281;NAO ALIMENTAR;CASA;MENAGE;ELECTRODOMESTICOS;Balanca wc digital;Balanca wc digital
18282;NAO ALIMENTAR;CASA;MENAGE;ELECTRODOMESTICOS;Batedeira;Batedeira
18283;NAO ALIMENTAR;CASA;MENAGE;ELECTRODOMESTICOS;Liquidificadora;Liquidificadora
18284;NAO ALIMENTAR;CASA;MENAGE;ELECTRODOMESTICOS;Torradeira;Torradeira
18285;NAO ALIMENTAR;CASA;MENAGE;ELECTRODOMESTICOS;Picadora;Picadora
18286;NAO ALIMENTAR;CASA;MENAGE;ELECTRODOMESTICOS;Fritadeira fondue;Fritadeira fondue
18287;NAO ALIMENTAR;CASA;MENAGE;ELECTRODOMESTICOS;Grelhador multifuncoes;Grelhador multifuncoes
18288;NAO ALIMENTAR;CASA;MENAGE;ELECTRODOMESTICOS;Secador cabelo profissional;Secador cabelo profissional
18289;NAO ALIMENTAR;CASA;MENAGE;ELECTRODOMESTICOS;Depiladora corte;Depiladora corte
18290;NAO ALIMENTAR;CASA;MENAGE;ELECTRODOMESTICOS;Aspirador;Aspirador
18291;NAO ALIMENTAR;CASA;MENAGE;ELECTRODOMESTICOS;Aspirador portatil;Aspirador portatil
18292;NAO ALIMENTAR;CASA;MENAGE;ACESSORIOS COZINHA;Espremedor citrinos;Espremedor citrinos
18293;NAO ALIMENTAR;CASA;MENAGE;ELECTRODOMESTICOS;Aparador cabelo;Aparador cabelo
18294;NAO ALIMENTAR;CASA;MENAGE;ELECTRODOMESTICOS;Medidor tensao arterial pulso;Medidor tensao arterial pulso
18295;NAO ALIMENTAR;CASA;MENAGE;ELECTRODOMESTICOS;Termometro digital;Termometro digital
18296;NAO ALIMENTAR;CASA;MENAGE;ELECTRODOMESTICOS;Moinho cafe;Moinho cafe
18297;ALIMENTAR;VINHO;VINHO BRANCO;VINHO BRANCO DOURO;Meandro b 750ml;Meandro b 750ml
18298;ALIMENTAR;VINHO;VINHO TINTO;VINHO DE MESA;Fortis t 750ml;Fortis t 750ml
18299;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO SETUBAL;Quinta de camarate tinto gift 1500ml;Quinta de camarate tinto gift 1500ml
18300;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;SIDRA;Sidra somersby 330ml;Sidra somersby 330ml
18301;NAO ALIMENTAR;PESSOAL;LAZER;PRAIA / CAMPISMO;Acumulador termico 2un;Acumulador termico 2un
18302;NAO ALIMENTAR;PESSOAL;LAZER;PRAIA / CAMPISMO;Saco termico 20l+acum;Saco termico 20l+acum
18303;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Garrafa 500ml cor;Garrafa 500ml cor
18304;NAO ALIMENTAR;CASA;MENAGE;ACESSORIOS COZINHA;Saleiro+pimenteiro;Saleiro+pimenteiro
18305;NAO ALIMENTAR;CASA;MENAGE;ACESSORIOS COZINHA;Galheteiro 2pcs;Galheteiro 2pcs
18306;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Copo ballon 2un fcp/slb/scp;Copo ballon 2un fcp/slb/scp
18307;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Flute 2un fcp/slb/scp;Flute 2un fcp/slb/scp
18308;NAO ALIMENTAR;PESSOAL;LAZER;FESTA;Palhinhas cor cx.150un;Palhinhas cor cx.150un
18309;NAO ALIMENTAR;PESSOAL;LAZER;FESTA;Palhinhas cor 100un;Palhinhas cor 100un
18310;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Travessa inox 35cm;Travessa inox 35cm
18311;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Travessa inox 30cm;Travessa inox 30cm
18312;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Assador chourico barro vrm;Assador chourico barro vrm
18313;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Malga arroz peq barro vrm;Malga arroz peq barro vrm
18314;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Saladeira barro vrm;Saladeira barro vrm
18315;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Azeitoneira barro vrm;Azeitoneira barro vrm
18316;NAO ALIMENTAR;CASA;MENAGE;ACESSORIOS COZINHA;Porta talheres;Porta talheres
18317;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Passevite;Passevite
18318;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Conj 4 caixas hermeticas;Conj 4 caixas hermeticas
18319;NAO ALIMENTAR;CASA;MENAGE;ACESSORIOS COZINHA;Escorredor;Escorredor
18320;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Caneca 30cl;Caneca 30cl
18321;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Assadeira redonda 1,6l;Assadeira redonda 1,6l
18322;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Assadeira quadrada1,7l marinex;Assadeira quadrada1,7l marinex
18323;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Assadeira oval 3,2l;Assadeira oval 3,2l
18324;NAO ALIMENTAR;PESSOAL;LAZER;PRAIA / CAMPISMO;Assadeira brioche 1,7l marinex;Assadeira brioche 1,7l marinex
18325;NAO ALIMENTAR;PESSOAL;LAZER;BRINQUEDOS;Caixa jogos cartas+dados+domino;Caixa jogos cartas+dados+domino
18326;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Conj refresco (6 copos+jarro);Conj refresco (6 copos+jarro)
18327;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;jarro vidro c/ tampa 1l;jarro vidro c/ tampa 1l
18328;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Copo 25/30cl cor;Copo 25/30cl cor
18329;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Caneca vidro c/ tampa 450ml;Caneca vidro c/ tampa 450ml
18330;NAO ALIMENTAR;PESSOAL;LAZER;BRINQUEDOS;Balde praia+acess;Balde praia+acess
18331;NAO ALIMENTAR;PESSOAL;LAZER;BRINQUEDOS;Brinquedo praia+acess;Brinquedo praia+acess
18332;NAO ALIMENTAR;PESSOAL;LAZER;BRINQUEDOS;Camiao praia+acess;Camiao praia+acess
18333;NAO ALIMENTAR;PESSOAL;LAZER;BRINQUEDOS;Jogo 6 em 1;Jogo 6 em 1
18334;NAO ALIMENTAR;PESSOAL;LAZER;BRINQUEDOS;Patinho;Patinho
18335;NAO ALIMENTAR;PESSOAL;LAZER;BRINQUEDOS;Camiao;Camiao
18336;NAO ALIMENTAR;CASA;MENAGE;NATAL;Caneca natal;Caneca natal
18337;NAO ALIMENTAR;CASA;MENAGE;NATAL;Bola natal 6un;Bola natal 6un
18339;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Calice 36,5cl;Calice 36,5cl
18340;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Conj p bebidas (jarro+copo);Conj p bebidas (jarro+copo)
18341;NAO ALIMENTAR;CASA;MENAGE;NATAL;Toalha mesa plastificada 150x210 natal;Toalha mesa plastificada 150x210 natal
18343;NAO ALIMENTAR;PESSOAL;LAZER;FESTA;Vela aniversario neon 12un;Vela aniversario neon 12un
18344;NAO ALIMENTAR;PESSOAL;LAZER;FESTA;Vela aniversario reacendem 12un;Vela aniversario reacendem 12un
18345;NAO ALIMENTAR;PESSOAL;LAZER;FESTA;Vela aniversario gigante;Vela aniversario gigante
18346;NAO ALIMENTAR;PESSOAL;LAZER;FESTA;Vela aniversario musical;Vela aniversario musical
18347;NAO ALIMENTAR;PESSOAL;LAZER;FESTA;Vela aniversario numero boneco;Vela aniversario numero boneco
18348;NAO ALIMENTAR;PESSOAL;LAZER;FESTA;Vela aniversario numero;Vela aniversario numero
18349;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Chavena consome 2asas br;Chavena consome 2asas br
18350;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Chavena jumbo;Chavena jumbo
18351;NAO ALIMENTAR;CASA;MENAGE;ACESSORIOS COZINHA;Escorredor salada;Escorredor salada
18352;NAO ALIMENTAR;CASA;MENAGE;LOIÇA;Prato ardosia;Prato ardosia
18353;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA ROUPA;Escova lavadeira s;Escova lavadeira s
18354;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA ROUPA;Escova lava roupa;Escova lava roupa
18355;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA LOIÇA;Escova lava prato;Escova lava prato
18356;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA CASA;Vassourinha;Vassourinha
18357;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA CASA;Cabo madeira;Cabo madeira
18358;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA CASA;Balde plastico;Balde plastico
18359;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA CASA;Limpa vidros;Limpa vidros
18360;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA WC;Desentupidor fole;Desentupidor fole
18361;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA CASA;Chapuz cabo madeira;Chapuz cabo madeira
18362;NAO ALIMENTAR;CASA;MENAGE;TEXTIL LAR;Chapuz cabo metal;Chapuz cabo metal
18364;NAO ALIMENTAR;CASA;MENAGE;WC;Conj sanitario piaca;Conj sanitario piaca
18365;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA LOIÇA;Limpa garrafas;Limpa garrafas
18366;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA ROUPA;Sabao offenbach rosa 5x100g;Sabao offenbach rosa 5x100g
18367;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE CORPORAL;Sabao solavar rosa 400g;Sabao solavar rosa 400g
18368;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE CORPORAL;Sabonete feno 90g;Sabonete feno 90g
18370;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE ORAL;P dent couto 60g;P dent couto 60g
18371;NAO ALIMENTAR;PESSOAL;BEM ESTAR;BARBEAR;Recarga gillette body 4un;Recarga gillette body 4un
18372;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE CABELO;Cond pantene aqualight 230ml;Cond pantene aqualight 230ml
18373;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA CASA;Spray sonasol brilhante vidros 750ml;Spray sonasol brilhante vidros 750ml
18374;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA WC;Bloco sonasol wc blue active floral;Bloco sonasol wc blue active floral
18375;NAO ALIMENTAR;CASA;MENAGE;TEXTIL LAR;Pano amanhecer multiuso suave 6un;Pano amanhecer multiuso suave 6un
18376;NAO ALIMENTAR;CASA;MENAGE;TEXTIL LAR;Pano mchef microfibras 32x31 3un;Pano mchef microfibras 32x31 3un
18377;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA CASA;Det loica amanhecer classico 1l;Det loica amanhecer classico 1l
18378;NAO ALIMENTAR;PESSOAL;BEM ESTAR;DEPILATORIOS;Creme depil amanhecer 200ml;Creme depil amanhecer 200ml
18379;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE INFANTIL;Fralda amanhecer n formula t2 3-6 60un;Fralda amanhecer n formula t2 3-6 60un
18380;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE INFANTIL;Fralda amanhecer n formula t4 9-15 50un;Fralda amanhecer n formula t4 9-15 50un
18381;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE INFANTIL;Fralda amanhecer n formula t3 4-10 56un;Fralda amanhecer n formula t3 4-10 56un
18382;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE INFANTIL;Fralda amanhecer n formula t5 13-18 44un;Fralda amanhecer n formula t5 13-18 44un
18383;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE INFANTIL;Fralda amanhecer n formula t6 17-28 30un;Fralda amanhecer n formula t6 17-28 30un
18384;NAO ALIMENTAR;PESSOAL;HIGIENE;PAPEL HIGIENICO;Papel hig suavecel 6=12;Papel hig suavecel 6=12
18385;NAO ALIMENTAR;PESSOAL;BEM ESTAR;CORPO;Sabonete liq creme rosa mchef 5l;Sabonete liq creme rosa mchef 5l
18386;NAO ALIMENTAR;CASA;MENAGE;TEXTIL LAR;Pano mchef multi rolo 4m;Pano mchef multi rolo 4m
18387;NAO ALIMENTAR;CASA;MENAGE;TEXTIL LAR;Pano mchef universal rolo 6m;Pano mchef universal rolo 6m
18388;NAO ALIMENTAR;CASA;MENAGE;TEXTIL LAR;Pano mchef cozinha favo;Pano mchef cozinha favo
18389;NAO ALIMENTAR;CASA;MENAGE;TEXTIL LAR;Pano mchef cozinha sarja;Pano mchef cozinha sarja
18390;NAO ALIMENTAR;CASA;MENAGE;TEXTIL LAR;Pano mchef cozinha tafeta;Pano mchef cozinha tafeta
18391;NAO ALIMENTAR;CASA;MENAGE;TEXTIL LAR;Pano mchef cozinha turco;Pano mchef cozinha turco
18392;NAO ALIMENTAR;CASA;MENAGE;TEXTIL LAR;Pano mchef mult anti-bacter 4 uni;Pano mchef mult anti-bacter 4 uni
18393;NAO ALIMENTAR;CASA;MENAGE;TEXTIL LAR;Toalha maos mchef turco;Toalha maos mchef turco
18394;NAO ALIMENTAR;CASA;MENAGE;TEXTIL LAR;Pano mchef microfibras 60x40 br 3un;Pano mchef microfibras 60x40 br 3un
18395;NAO ALIMENTAR;CASA;MENAGE;TEXTIL LAR;Pano mchef microfibras 60x40 cor 3un;Pano mchef microfibras 60x40 cor 3un
18396;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA WC;Gel ajax max power cascata fresca 750ml;Gel ajax max power cascata fresca 750ml
18397;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA WC;Gel ajax max power flor limoeiro 750ml;Gel ajax max power flor limoeiro 750ml
18398;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA WC;Gel ajax max power menta eucalipto 750ml;Gel ajax max power menta eucalipto 750ml
18399;NAO ALIMENTAR;PESSOAL;HIGIENE;CABELO PENTEAR;Gel axe styling adrenaline;Gel axe styling adrenaline
18400;NAO ALIMENTAR;PESSOAL;HIGIENE;CABELO PENTEAR;Gel axe styling urban;Gel axe styling urban
18401;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE CORPORAL;Gel banho palmolive gourmet chocolate 500ml;Gel banho palmolive gourmet chocolate 500ml
18402;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE CORPORAL;Gel banho palmolive gourmet morango 500ml;Gel banho palmolive gourmet morango 500ml
18403;NAO ALIMENTAR;PESSOAL;BEM ESTAR;BARBEAR;Maq depil gillette body for men;Maq depil gillette body for men
18404;NAO ALIMENTAR;PESSOAL;BEM ESTAR;CORPO;Creme corpo ultra suave azeitona mitica 250ml;Creme corpo ultra suave azeitona mitica 250ml
18405;NAO ALIMENTAR;PESSOAL;BEM ESTAR;CORPO;Creme corpo ultra suave tesouros mel 250ml;Creme corpo ultra suave tesouros mel 250ml
18406;NAO ALIMENTAR;PESSOAL;BEM ESTAR;CORPO;Creme corpo ultra suave oleos maravilhosos 250ml;Creme corpo ultra suave oleos maravilhosos 250ml
18407;NAO ALIMENTAR;PESSOAL;BEM ESTAR;CORPO;Creme corpo ultra suave delicadeza aveia 250ml;Creme corpo ultra suave delicadeza aveia 250ml
18408;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA ROUPA;Det maq liq xau sabao natural 88d;Det maq liq xau sabao natural 88d
18409;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;CHAMPAGNE;Espumante fortis 750ml;Espumante fortis 750ml
18410;ALIMENTAR;MERCEARIA;SECO;MOLHOS;Massa alho amanhecer 200gr;Massa alho amanhecer 200gr
18416;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA WC;Gel limpeza wc ultra pro ecologico 1l;Gel limpeza wc ultra pro ecologico 1l
18417;NAO ALIMENTAR;PESSOAL;LAZER;PAPELARIA;Lapis evolution hellokitty b3;Lapis evolution hellokitty b3
18418;NAO ALIMENTAR;CASA;LIMPIEZA;LIMPEZA LOIÇA;Fairy antibact eucalipt 650ml;Fairy antibact eucalipt 650ml
