sku;I;II;III;V;Descripcion;Articulo
14110;ALIMENTAR;MERCEARIA;SECO;BOLACHAS;Integralis doses 180g vieira castro;Integralis doses 180g vieira castro
14111;ALIMENTAR;MERCEARIA;SECO;BOLACHAS;Digestive aveia doses vieira castro;Digestive aveia doses vieira castro
14113;ALIMENTAR;MERCEARIA;SECO;BOLACHAS;Digestive sem acucar vieira castro;Digestive sem acucar vieira castro
14114;ALIMENTAR;MERCEARIA;SECO;BOLACHAS;Maria 200g vieira castro;Maria 200g vieira castro
14116;ALIMENTAR;MERCEARIA;SECO;BOLACHAS;Maria junior sem lactose doses vieira castro;Maria junior sem lactose doses vieira castro
14118;ALIMENTAR;MERCEARIA;SECO;BOLACHAS;Maria doses vieira castro;Maria doses vieira castro
14119;ALIMENTAR;MERCEARIA;SECO;BOLACHAS;Torrada 200g vieira castro;Torrada 200g vieira castro
14120;ALIMENTAR;MERCEARIA;SECO;BOLACHAS;Agua sal 125g vieira castro;Agua sal 125g vieira castro
14125;ALIMENTAR;MERCEARIA;SECO;BOLACHAS;Cream cracker 200g vieira castro;Cream cracker 200g vieira castro
14131;ALIMENTAR;MERCEARIA;SECO;REBUÇADOS;Flocos neve 100g vieira castro;Flocos neve 100g vieira castro
14133;ALIMENTAR;MERCEARIA;SECO;REBUÇADOS;Mentol 100g vieira castro;Mentol 100g vieira castro
14138;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Amendoas baunilha t.frances 100g vieira castro;Amendoas baunilha t.frances 100g vieira castro
14140;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Amendoas lisa cores 100g vieira castro;Amendoas lisa cores 100g vieira castro
14167;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Amendoas romanas 100g vieira castro;Amendoas romanas 100g vieira castro
14168;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Amendoas caiaques 150g vieira castro;Amendoas caiaques 150g vieira castro
14206;ALIMENTAR;MERCEARIA;SECO;CONSERVAS VEGETAIS;Alcaparras vinagre 180gr ferbar;Alcaparras vinagre 180gr ferbar
14218;ALIMENTAR;MERCEARIA;SECO;CAFÉS;Cafe letefoho po 1kg;Cafe letefoho po 1kg
14230;ALIMENTAR;MERCEARIA;SECO;CAFÉS;Capsula cafe torrie expresso;Capsula cafe torrie expresso
14231;ALIMENTAR;MERCEARIA;SECO;CAFÉS;Capsula cafe torrie decaffeinated;Capsula cafe torrie decaffeinated
14232;ALIMENTAR;MERCEARIA;SECO;CAFÉS;Capsula cafe torrie energy;Capsula cafe torrie energy
14233;ALIMENTAR;MERCEARIA;SECO;CAFÉS;Capsula cafe torrie brasil;Capsula cafe torrie brasil
14234;ALIMENTAR;MERCEARIA;SECO;CAFÉS;Capsula cafe torrie angola;Capsula cafe torrie angola
14235;ALIMENTAR;MERCEARIA;SECO;CAFÉS;Capsula cafe torrie colombia;Capsula cafe torrie colombia
14250;ALIMENTAR;BEBIDAS;SUMOS;BEBIDAS ENERGETICAS;Bebida energetica monster khaos 500ml;Bebida energetica monster khaos 500ml
14253;ALIMENTAR;BEBIDAS;SUMOS;BEBIDAS ENERGETICAS;Bebida energetica monster absolutely zero 500ml;Bebida energetica monster absolutely zero 500ml
14277;ALIMENTAR;MERCEARIA;SECO;SAL;Sal marinho iodizado 250gr;Sal marinho iodizado 250gr
14285;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Chocolate negro avela Stevia 125gr;Chocolate negro avela Stevia 125gr
14286;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Chocolate branco sem acucar 100gr;Chocolate branco sem acucar 100gr
14287;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Chocolate leite sem acucar 100gr;Chocolate leite sem acucar 100gr
14288;ALIMENTAR;MERCEARIA;FRESO;CHOCOLATES;Chocolate leite e avelas sem acucar 125gr;Chocolate leite e avelas sem acucar 125gr
14290;ALIMENTAR;MERCEARIA;FRESO;MANTEIGA;Manteiga de amendoim natural 200gr;Manteiga de amendoim natural 200gr
14291;ALIMENTAR;MERCEARIA;SECO;VEGETARIANO BEM ESTAR;Chourico vegetal cem por cento 200gr;Chourico vegetal cem por cento 200gr
14295;ALIMENTAR;MERCEARIA;SECO;CHA;Cha fresh limao  saquetas 2x 9gr  instantaneo;Cha fresh limao  saquetas 2x 9gr  instantaneo
14296;ALIMENTAR;MERCEARIA;SECO;CHA;Cha fresh verde pessego saquetas 2x 9gr  instantaneo;Cha fresh verde pessego saquetas 2x 9gr  instantaneo
14297;ALIMENTAR;MERCEARIA;SECO;VEGETARIANO BEM ESTAR;Barra elegance plus ameixa cereais chocolate branco;Barra elegance plus ameixa cereais chocolate branco
14298;ALIMENTAR;MERCEARIA;SECO;VEGETARIANO BEM ESTAR;Barras sesamo e mel  (cx.6barras);Barras sesamo e mel  (cx.6barras)
14301;ALIMENTAR;MERCEARIA;SECO;VEGETARIANO BEM ESTAR;Doce de goiaba sem acucar 380gr;Doce de goiaba sem acucar 380gr
14304;ALIMENTAR;MERCEARIA;SECO;VEGETARIANO BEM ESTAR;Sumo natural uva preta 200ml bio;Sumo natural uva preta 200ml bio
14305;ALIMENTAR;MERCEARIA;SECO;VEGETARIANO BEM ESTAR;Sumo natural cenoura 200ml bio;Sumo natural cenoura 200ml bio
14306;ALIMENTAR;MERCEARIA;SECO;VEGETARIANO BEM ESTAR;Sumo natural ananas 200ml bio;Sumo natural ananas 200ml bio
14307;ALIMENTAR;MERCEARIA;SECO;VEGETARIANO BEM ESTAR;Sumo natural maca 200ml bio;Sumo natural maca 200ml bio
14308;ALIMENTAR;MERCEARIA;SECO;VEGETARIANO BEM ESTAR;Sumo natural roma 200ml bio;Sumo natural roma 200ml bio
14309;ALIMENTAR;MERCEARIA;SECO;VEGETARIANO BEM ESTAR;Bolacha arroz fonte fibras s/sal 100gr;Bolacha arroz fonte fibras s/sal 100gr
14314;ALIMENTAR;MERCEARIA;SECO;CHA;Cha nº1 relax;Cha nº1 relax
14315;ALIMENTAR;MERCEARIA;SECO;CHA;Cha nº4 melhores digestoes;Cha nº4 melhores digestoes
14316;ALIMENTAR;MERCEARIA;SECO;CHA;Cha nº5 emagress plus;Cha nº5 emagress plus
14317;ALIMENTAR;MERCEARIA;SECO;CHA;Cha nº10 colesterol control;Cha nº10 colesterol control
14318;ALIMENTAR;MERCEARIA;SECO;CHA;Cha nº12 tensao control;Cha nº12 tensao control
14319;ALIMENTAR;MERCEARIA;SECO;CHA;Cha soluvel frutos vermelhos;Cha soluvel frutos vermelhos
