"","sku","stock_actual","prevision_total","stock_meses","PC_medio","Altura","Largura","Comprimento","valor_stock_usd","stock_meses_1"
"1028","18848",0,"    0,0",0,"   4,044","0,012","1","1","    0,00",12
"1029","18852",0,"    0,0",0,"   3,030","0,012","1","1","    0,00",12
"1030","18857",120,"  188,0",0,"   0,830","0,38","0,21","0,165","   99,60",0
"1031","18867",199,"   27,1",7,"   0,930","0,6","0,39","0,5","  185,07",7
"1032","18874",19,"   22,5",0,"   1,590","0,1","1","1","   30,21",0
"1033","18878",81,"    1,0",12,"   3,260","0,052","1","1","  264,06",12
"1034","18880",301,"    0,0",0,"   0,560","0,053","1","1","  168,56",12
"1035","18882",300,"    0,0",0,"   0,520","0,051","1","1","  156,00",12
"1036","18887",129,"  148,8",0,"   0,500","0,08","1","1","   64,50",0
"1037","18919",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1038","18920",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1039","18930",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1040","18657",53,"   42,1",1,"   0,910","0,19","0,205","0,345","   48,23",1
"1041","18665",12,"   18,5",0,"   8,170","0,325","0,225","0,15","   98,04",0
"1042","18667",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1043","18676",31,"    0,0",0,"  14,850","0,345","0,225","0,425","  460,35",12
"1044","18683",17,"   13,1",1,"   1,250","0,009","1","1","   21,25",1
"1045","18684",3,"    0,0",0,"   1,250","0,009","1","1","    3,75",12
"1046","18690",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1047","18692",41,"   83,8",0,"   3,041","0,32","0,152","0,228","  124,68",0
"1048","18703",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1049","18739",0,"    0,0",0,"  11,100","0,145","1","1","    0,00",12
"1050","18749",39,"    1,0",12,"   5,983","0,337","0,155","0,228","  233,35",12
"1051","18811",25,"    0,0",0,"   4,520","0,337","0,155","0,228","  113,00",12
"1052","18813",20,"    0,0",0,"  41,870","0,38","0,118","0,115","  837,40",12
"1053","18816",34,"   15,6",2,"  22,296","0,265","0,19","0,31","  758,07",2
"1054","18819",0,"  120,5",0,"   0,000","0","0","0","    0,00",0
"1055","18826",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1056","18827",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1057","18836",141,"    5,8",12,"   3,310","0,122","1","1","  466,71",12
"1058","18837",181,"    3,7",12,"   3,310","0,122","1","1","  599,11",12
"1059","18845",176,"    1,2",12,"   6,360","0,122","1","1"," 1119,36",12
"1060","18850",0,"    0,0",0,"   4,030","0,012","1","1","    0,00",12
"1061","18851",0,"    0,0",0,"   3,120","0,012","1","1","    0,00",12
"1062","18853",0,"    0,0",0,"   3,190","0,012","1","1","    0,00",12
"1063","18856",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1064","18859",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1065","18868",69,"   16,2",4,"   1,170","0,27","0,53","0,82","   80,73",4
"1066","18869",25,"    1,0",12,"   1,800","0,002","1","1","   45,00",12
"1067","18872",21,"    8,5",2,"   4,760","0,088","1","1","   99,96",2
"1068","18875",73,"   17,8",4,"   0,830","0,008","1","1","   60,59",4
"1069","18881",300,"    0,0",0,"   0,510","0,049","1","1","  153,00",12
"1070","18883",288,"    0,0",0,"   0,700","0,061","1","1","  201,60",12
"1071","18886",58,"   12,0",4,"   0,500","0,08","1","1","   29,00",4
"1072","18889",181,"    3,3",12,"   0,720","0,101","1","1","  130,32",12
"1073","18945",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1074","18949",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1075","18970",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1076","18974",47,"   42,6",1,"   2,320","0,17","0,25","0,17","  109,04",1
"1077","18976",120,"    0,0",0,"   0,820","0,145","0,24","0,21","   98,40",12
"1078","18978",75,"    8,6",8,"   0,580","0,111","0,221","0,262","   43,50",8
"1079","18369",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1080","18371",1,"    0,0",0,"   5,670","0,002","1","1","    5,67",12
"1081","18378",5,"   26,8",0,"   2,156","0,003","1","1","   10,78",0
"1082","18390",0,"   18,5",0,"   3,210","0,173","1","1","    0,00",0
"1083","18395",12,"    0,0",0,"   2,625","0,018","1","1","   31,50",12
"1084","18411",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1085","18438",0,"    0,0",0,"  10,994","0,11","0,3","0,4","    0,00",12
"1086","18442",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1087","18453",0,"    0,0",0,"   2,030","0,135","0,272","0,21","    0,00",12
"1088","18464",0,"    0,0",0,"   1,450","0,2","0,093","0,162","    0,00",12
"1089","18471",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1090","18492",0,"    0,0",0,"  25,570","0,02","1","1","    0,00",12
"1091","18505",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1092","18514",17,"   64,1",0,"   0,385","0","0","0","    6,55",0
"1093","18522",0,"    0,0",0,"   1,000","0","0","0","    0,00",12
"1094","18542",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1095","18544",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1096","18549",0,"    0,0",0,"   3,530","1","1","0,012","    0,00",12
"1097","18550",0,"    0,0",0,"   3,530","1","1","0,012","    0,00",12
"1098","18551",0,"    0,0",0,"   3,530","1","1","0,012","    0,00",12
"1099","18553",0,"    0,0",0,"   3,530","1","1","0,012","    0,00",12
"1100","18557",0,"    0,0",0,"  10,780","1","1","0,012","    0,00",12
"1101","18559",0,"    0,0",0,"   3,830","1","1","0,024","    0,00",12
"1102","18575",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1103","18585",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1104","18611",14,"  113,2",0,"   0,790","0,003","0,1","1","   11,06",0
