sku;Produto;Descricao Curta;Tipo Produto;pvp;PC_medio;Descontinuado;Fornecedor;Localizacao Criacao;Peso Bruto;Altura;Largura;Comprimento
13030;Feijao amanhecer encarnado 500gr;Feijao amanhecer encarnad;Normal;2,9;1,308364;FALSO;RECHEIO S.A.;LOJA;0;0,4;0,25;0,16
13031;Feijao amanhecer frade 500gr;Feijao amanhecer frade 50;Normal;2,5;1,174103;FALSO;RECHEIO S.A.;LOJA;0;0,4;0,25;0,16
13032;Feijao amanhecer preto 500gr;Feijao amanhecer preto 50;Normal;2,2;1,019;FALSO;RECHEIO S.A.;LOJA;0;0,4;0,25;0,16
13034;Flocos batata amanhecer 200gr;Flocos batata amanhecer 2;Normal;1,9;0,87;FALSO;RECHEIO S.A.;LOJA;0;0,37;0,24;0,17
13035;Ketchup top down gourmes 250ml;Ketchup top down gourmes;Normal;1,8;0,874726;FALSO;RECHEIO S.A.;LOJA;0;0,22;0,16;0,17
13036;Maionese top down gourmes 250ml;Maionese top down gourmes;Normal;2,25;1,06948;FALSO;RECHEIO S.A.;LOJA;0;0,22;0,16;0,17
13037;Massa pevide amanhecer 250gr;Massa pevide amanhecer 25;Normal;0,8;0,373411;FALSO;RECHEIO S.A.;LOJA;0;0,49;0,16;0,19
13038;Mostarda top down gourmes 250ml;Mostarda top down gourmes;Normal;1,95;0,97976;FALSO;RECHEIO S.A.;LOJA;0;0,22;0,16;0,17
13041;Arroz agulha 1kg cacarola;Arroz agulha 1kg cac;Normal;3,6;1,628876;FALSO;RECHEIO S.A.;LOJA;0;0,39;0,35;0,19
13042;Arroz risoto 500gr cacarola;Arroz risoto 500gr cac;Normal;2,6;1,095833;FALSO;RECHEIO S.A.;LOJA;0;0,35;0,15;0,24
13051;Porta da ravessa t 375ml;Porta ravessa t 375ml;Normal;5;1,69;FALSO;ADEGA COOPERATIVA REDONDO C.R.L.;LOJA;0;0,01;1;1
13056;Pastel Bacalhau;Pastel Bacalhau;Normal;1;0;FALSO;PATEO;LOJA;0;0;0;0
13063;Periquita t 1500ml;Periquita t 1500ml;Normal;26,4;8,79;FALSO;JOSE MARIA FONSECA - VINHOS S.A;LOJA;16,1;0,032;0,021;0,038
13066;Porta da ravessa rose 750ml;Porta da ravessa rose 750;Normal;9;2,592;FALSO;ADEGA COOPERATIVA REDONDO C.R.L.;LOJA;0;0,01;1;1
13068;JP azeitao rose 750ml;JP azeitao rose 750ml;Normal;7;1,942928;FALSO;BACALHOA  VINHOS PORTUGAL;LOJA;7,62;0,225;0,15;0,328
13070;Alabastro t 750ml;Alabastro t 750ml;Normal;9,9;2,793145;FALSO;BACALHOA  VINHOS PORTUGAL;LOJA;7,5;0,33;0,153;0,227
13074;Alabastro b 750ml;Alabastro b 750ml;Normal;9,9;2,72;FALSO;BACALHOA  VINHOS PORTUGAL;LOJA;7,5;0,33;0,153;0,227
13087;Quinta do gradil t cabernet sauvignon e tinta roriz 750ml;Quinta do gradil t cabern;Normal;16,9;4,4166;FALSO;GOANVI, SOC. ENGARRAFAMENTO, LDA (PARRAS);LOJA;9,6;0,245;0,17;0,325
13089;Quinta do gradil t touriga nacional e tannat 750ml;Quinta do gradil t tourig;Normal;19;6,364962;FALSO;GOANVI, SOC. ENGARRAFAMENTO, LDA (PARRAS);LOJA;9,6;0,245;0,17;0,325
13091;Vale dos pecados t 750ml;Vale dos pecados t 750ml;Normal;9;2,559;FALSO;GOANVI, SOC. ENGARRAFAMENTO, LDA (PARRAS);LOJA;8,5;0,235;0,16;0,325
13093;Vale dos pecados verde b 750ml;Vale dos pecados vb 750ml;Normal;9,2;2,614;FALSO;GOANVI, SOC. ENGARRAFAMENTO, LDA (PARRAS);LOJA;8,7;0,23;0,155;0,335
13095;Vale dos pecados t reserva 750ml;Vale dos pecados t reserv;Normal;12;3,843;FALSO;GOANVI, SOC. ENGARRAFAMENTO, LDA (PARRAS);LOJA;8,5;0,235;0,16;0,325
13101;Tabernarius t 750ml;Tabernarius t 750ml;Normal;8;2,43;FALSO;GOANVI, SOC. ENGARRAFAMENTO, LDA (PARRAS);LOJA;7,7;0,235;0,16;0,325
13103;Tabernarius t bib 5000ml;Tabernarius t bib 500;Normal;36;7,935;FALSO;GOANVI, SOC. ENGARRAFAMENTO, LDA (PARRAS);LOJA;5,2;0,125;0,185;0,245
13109;Ganita t 750ml;Ganita t 750ml;Normal;5,85;1,56;FALSO;GOANVI, SOC. ENGARRAFAMENTO, LDA (PARRAS);LOJA;13,6;0,158;0,238;0,3
13131;Adega murca b bib 5lt;Adega murca b bib 5lt;Normal;39;7,17;FALSO;ADEGA COOPERATIVA MURCA, CRL;LOJA;5,4;0,19;0,14;0,235
13132;Adega murca t bib 5lt;Adega murca t bib 5lt;Normal;39;8,42;FALSO;ADEGA COOPERATIVA MURCA, CRL;LOJA;5,4;0,19;0,14;0,235
13133;Adega murca b 750ml;Adega murca b 750ml;Normal;8;1,865;FALSO;ADEGA COOPERATIVA MURCA, CRL;LOJA;7,1;0,24;0,16;0,295
13134;Adega murca t 750ml;Adega murca t 750ml;Normal;8;1,930019;FALSO;ADEGA COOPERATIVA MURCA, CRL;LOJA;7,1;0,24;0,16;0,295
13135;Adega murca b 250ml;Adega murca b 250ml;Normal;3,1;0,83;FALSO;ADEGA COOPERATIVA MURCA, CRL;LOJA;12,54;0,338;0,279;0,186
13136;Adega murca t 250ml;Adega murca t 250ml;Normal;3,1;0,86;FALSO;ADEGA COOPERATIVA MURCA, CRL;LOJA;12,54;0,338;0,279;0,186
13137;Bolacha wafer chocolate nacional 125gr;Bolacha wafer chocolate n;Normal;1,25;0,59284;FALSO;CEREALIS INTERNACIONAL S.A.;LOJA;0;0,012;1;1
13139;Filete cavala em azeite 125gr cocagne;Filete cavala em azeite 1;Normal;5,2;2,424467;FALSO;RAMIREZ & Cª(FILHOS), S.A.;LOJA;0;0;0;0
13142;Guarana 330ml;Guarana 330ml;Normal;1;0,461729;FALSO;SUMOL + COMPAL DISTRIBUICAO S.A.;LOJA;0;1;1;0,012
13144;Guarana 1500ml;Guarana 1500ml;Normal;3,5;1,541127;FALSO;SUMOL + COMPAL DISTRIBUICAO S.A.;LOJA;0;0;0;0
13147;Lello t 750ml;Lello t 750ml;Normal;11,25;2,787226;FALSO;SOCIEDADE VINHOS BORGES, SA;LOJA;8,2;0,332;0,234;0,162
13150;Meia encosta tinto 750ml;Meia encosta tinto 750ml;Normal;12,5;2,7;FALSO;SOCIEDADE VINHOS BORGES, SA;LOJA;7,4;0,292;0,258;0,175
13240;Casal garcia sparkling 750ml;Casal garcia sparkling 75;Normal;13,6;4,57;FALSO;AVELEDA- SOC.AGRICOLA E COMERCIAL QUINTA AVELEDA, SA;LOJA;10,2;0,325;0,18;0,265
13241;Casal garcia 750ml screw cap;Casal garcia 750ml screw;Normal;11,5;3,5;FALSO;AVELEDA- SOC.AGRICOLA E COMERCIAL QUINTA AVELEDA, SA;LOJA;7,8;0,228;0,151;0,326
13242;Casal garcia rose 750ml screw cap;Casal garcia rose 750ml s;Normal;11,8;3,5;FALSO;AVELEDA- SOC.AGRICOLA E COMERCIAL QUINTA AVELEDA, SA;LOJA;7,8;0,228;0,151;0,326
13243;Quinta aveleda verde seco loureiro espadeiro b 750ml;Quinta aveleda 750ml;Normal;12,05;3,87;FALSO;AVELEDA- SOC.AGRICOLA E COMERCIAL QUINTA AVELEDA, SA;LOJA;7,6;0,219;0,146;0,325
13298;Manteiga nova acores c/ sal 10gr;Manteiga nova acores c/ s;Normal;0,35;0,16;FALSO;LACTACORES, UCRL;LOJA;0;0;0;0
13300;Miolo ameijoa cov 250gr;Miolo ameijoa cov 250gr;Normal;6,5;3,23;FALSO;ALCIDES SANTOS ANTUNES, LDA (ASA CONGELADOS);LOJA;4,2;0,185;0,208;0,4
12547;Potato crisps original 160gr jacker;Potato crisps original 16;Normal;1,6;1,142857;FALSO;HAPPY MUMMY COMPANHIA UNIPESSOAL LDA;LOJA;0;0;0;0
12548;Potato crisps barbecue 160gr jacker;Potato crisps barbecue 16;Normal;1,6;1,142857;FALSO;HAPPY MUMMY COMPANHIA UNIPESSOAL LDA;LOJA;0;0;0;0
12550;Potato crisps hot & spicy 160gr jacker;Potato crisps hot & spicy;Normal;1,6;1,143;FALSO;HAPPY MUMMY COMPANHIA UNIPESSOAL LDA;LOJA;0;0;0;0
12551;Potato crisps sour cream & onion 160gr jacker;Potato crisps sour cream;Normal;1,6;1,143;FALSO;HAPPY MUMMY COMPANHIA UNIPESSOAL LDA;LOJA;0;0;0;0
